Peter Hansen;12-02-2000;mand;1;Peter12@hotmail.com;2536755;Østerbro;ja;true
Chanlder Bing;19-08-1969;Mand;2;Chan12@hotmail.dk;12456899;Østerbro gade;ja;true
Hans Christiansen;16-03-1987;Mand;3;hans87@hotmail.com;12345678;Amager;nej;true
Sebastian Busk;22-02-1984;Mand;4;busk84@hotmail.com;23451223;Vestamager;ja;false
Nick Hansen;12-08-1995;Mand;5;Nick@hotmail.com;34782390;Nørrebro;ja;true
Stine Mortensen;23-04-1998;Kvinde;6;Stine98@hotmail.com;45628921;Amager;ja;true
Christine Hansen;15-06-1987;Kvinde;7;chr87@hotmail.com;85934012;Rødovre;ja;true
Christian Christiansen;12-04-2002;Mand;8;CC02@hotmail.com;23478902;Østerbro;ja;true
Sebastian Flemming;03-04-2006;Dreng;9;SF06@hotmail.com;73821912;Østerbro;ja;true
Tobias Østergaard;02-09-2007;Dreng;10;tb07@hotmail.com;78932178;Nørrebro;ja;true
Kamilla Mortensen ;04-04-2008;Pige;11;KM08@hotmail.com;28739101;Nørrebro;ja;true
Mohammed Abdullah;02-11-1997;Mand;12;ma97@hotmail.com;47839202;Nørrebro;ja;true
Yassin Fidan;12-12-1995;Mand;13;yf95@hotmail.com;83492021;Vanløse;ja;true
Zakaria Mohammed ;22-07-2008;Dreng;14;zm08@hotmail.com;48390202;Vanløse;nej;true
Sarah Zoubair;02-08-2009;Pige;15;SZ09@hotmail.com;78432432;Vanløse;nej;false
Kristian Bille;25-12-1998;Mand;16;bille98@hotmail.com;84904321;Frederiksberg;nej;true
Kasper Christoffersen;12-12-2006;Dreng;17;KC06@hotmail.com;47830211;Tingbjerg;nej;true
Hans Olle Egebjerg;16-04-1950;Mand;18;Olle50@hotmail.com;78904324;Vesterbro;nej;true
Jens Stampe;12-09-1957;Mand;19;stampe57@hotmail.com;78432980;Vesterbro;nej;true
Kirsten Gadegaard;02-12-1960;Kvinde;20;gadegaard60@hotmail.com;84903243;Frederiksberg;nej;true
Ulla Bjerg Lund;24-02-1961;Kvinde;21;Bjerg61@hotmail.com;84902312;Frederiksberg;nej;true
Ole Lundgaard;12-12-1962;Mand;22;Lundgaard62@hotmail.com;78780321;Frederiksberg;nej;true
